财务分类,项目编码,项目名称,项目内涵,除外内容,计价单位,说明,一档价格,二档价格,三档价格,四档价格
,1,一、综合医疗服务类,,,,"1.本类包括一般医疗服务、一般检查治疗、社区卫生及预防保健项目和其它医疗服务项目，本类编码为100000000。
2.有下列情况之一者不另收诊查费：①由医生指定在医院内换号诊断；②取化验及各种检查结果；③病人一次门诊医生开多张处方，多种检查，多次治疗单，检查治疗科室不得要求病人另交纳诊查费。
3.多科室共同使用的医疗服务项目列入本类之中，如护理、抢救、注射、换药等等。
4.患者结算时，门诊医药费用清单和住院病人医药费用明细清单不得另外收费。
5.门诊拆线不得另收诊查费。
6.门诊患者因病情需要，在院外使用的一次性材料（碘伏帽、胰岛素注射针头、造瘘管、造口袋、鼻饲管、导尿管、尿袋）可以外带并收费。",,,,
G,330609005,游离骨移植颌骨重建术,含取骨、植骨、骨坚固内固定。,固定用钛板及钛螺钉,次,,1920.0 ,1824.0 ,1728.0 ,1536.0 
G,330609006,带血管游离骨移植颌骨重建术,含取骨、植骨、血管吻合、骨坚固内固定。,特殊吻合线,次,,3800.0 ,3610.0 ,3420.0 ,3040.0 
G,330609007E,缺牙区游离骨移植术,指外置法、内置法、夹层法。含取骨术、植骨术。,,次,,1300.0 ,1235.0 ,1170.0 ,1040.0 
G,330609008E,引导骨组织再生术,,生物膜、固定钉,次,,1000.0 ,950.0 ,900.0 ,800.0 
G,330609009,颜面器官缺损种植体植入术,指外耳或鼻或眼缺损或颌面缺损的种植体植入。,特殊种植体,次,,700.0 ,665.0 ,630.0 ,560.0 
G,330609012E,骨挤压术,指用于上颌骨骨质疏松。,,次,,700.0 ,665.0 ,630.0 ,560.0 
,330610,6.10 扁桃体和腺样体手术,,,,,,,,
G,330610001E,扁桃体切除术,含双侧扁桃体。,,次,,400.0 ,380.0 ,360.0 ,320.0 
G,330610001-1E,扁桃体残体切除术,,,次,,400.0 ,380.0 ,360.0 ,320.0 
G,330610002E,腺样体刮除术,,,次,,350.0 ,332.5 ,315.0 ,280.0 
G,330610003E,舌扁桃体切除术,,,次,,400.0 ,380.0 ,360.0 ,320.0 
G,330610004E,扁桃体周围脓肿切开引流术,,,次,,260.0 ,247.0 ,234.0 ,208.0 
G,330610004-1E,扁桃体单纯穿刺活检术,,,次,,80.0 ,76.0 ,72.0 ,64.0 
,330611,6.11 咽部手术,,,,,,,,
G,330611001E,咽后壁脓肿切开引流术,,,次,,400.0 ,380.0 ,360.0 ,320.0 
G,330611002,经颈侧进路鼻咽肿瘤切除术,,,次,,2530.0 ,2403.5 ,2277.0 ,2024.0 
G,330611003E,经硬腭进路鼻咽肿瘤切除术,,,次,,1960.0 ,1862.0 ,1764.0 ,1568.0 
G,330611004,经硬腭进路鼻咽狭窄闭锁切开成形术,不含其他部位取材。,,次,,1700.0 ,1615.0 ,1530.0 ,1360.0 
G,330611005,颈侧切开下咽肿瘤切除术,,,次,,2550.0 ,2422.5 ,2295.0 ,2040.0 
G,330611005-1,下咽癌切除术,,,次,,2550.0 ,2422.5 ,2295.0 ,2040.0 
G,330611006E,颈外进路咽旁间隙肿物摘除术,,,次,,1730.0 ,1643.5 ,1557.0 ,1384.0 
G,330611007,颈侧径路咽食管肿瘤切除术,,,次,,1700.0 ,1615.0 ,1530.0 ,1360.0 
G,330611008E,咽瘘皮瓣修复术,,,次,,1685.0 ,1601.0 ,1517.0 ,1348.0 
G,330611009,侧颅底切除术,,,次,,3000.0 ,2850.0 ,2700.0 ,2400.0 
,3307,7.呼吸系统手术,,,,,,,,
,330701,7.1 喉及气管手术,,,,,,,,
G,330701001E,经直达喉镜喉肿物摘除术,,,次,,650.0 ,617.5 ,585.0 ,520.0 
G,330701001-1,经直达喉镜喉肿物活检术,,,次,,650.0 ,617.5 ,585.0 ,520.0 
G,330701001-2E,经直达喉镜咽喉异物取出术,,,次,,650.0 ,617.5 ,585.0 ,520.0 
G,330701002,颈侧切开喉部肿瘤切除术,,,次,,1150.0 ,1092.5 ,1035.0 ,920.0 
G,330701003,环甲膜穿刺术,含环甲膜置管和注药。,,次,,230.0 ,218.5 ,207.0 ,184.0 
G,330701004,环甲膜切开术,,,次,,350.0 ,332.5 ,315.0 ,280.0 
G,330701005E,气管切开术,,气管套管、经皮气管切开套装,次,,379.0 ,360.0 ,341.0 ,303.0 
G,330701005-1E,经皮气管套管置入术,,气管套管、经皮气管切开套装,次,,350.0 ,332.5 ,315.0 ,280.0 
G,330701006,喉全切除术,,,次,,1730.0 ,1643.5 ,1557.0 ,1384.0 
G,330701007,喉全切除术后发音管安装术,,发音管,次,,1533.0 ,1456.4 ,1379.7 ,1226.4 
G,330701008E,喉功能重建术,含肌肉、会厌、舌骨瓣、咽下缩肌等局部修复手段。,,次,,3518.0 ,3342.0 ,3166.0 ,2814.0 
G,330701009,全喉切除咽气管吻合术,,,次,,2800.0 ,2660.0 ,2520.0 ,2240.0 
G,330701010,喉次全切除术,含切除环舌、会厌固定术。,,次,,2303.0 ,2188.0 ,2073.0 ,1842.0 
G,330701011,3/4喉切除术及喉功能重建术,,,次,,4133.0 ,3926.0 ,3720.0 ,3306.0 
G,330701012,垂直半喉切除术及喉功能重建术,,,次,,2171.0 ,2062.0 ,1954.0 ,1737.0 
G,330701013,垂直超半喉切除术及喉功能重建术,,,次,,2800.0 ,2660.0 ,2520.0 ,2240.0 
G,330701014,声门上水平喉切除术,,,次,,2600.0 ,2470.0 ,2340.0 ,2080.0 
G,330701015,梨状窝癌切除术,,,次,,3300.0 ,3135.0 ,2970.0 ,2640.0 
G,330701016,全喉全下咽全食管切除+全胃上提修复术,,,次,,4000.0 ,3800.0 ,3600.0 ,3200.0 
G,330701017,全喉全下咽切除皮瓣修复术,,,次,,5300.0 ,5035.0 ,4770.0 ,4240.0 
G,330701017-1,带蒂残喉气管瓣修复下咽术,,,次,,4500.0 ,4275.0 ,4050.0 ,3600.0 
G,330701018E,喉瘢痕狭窄扩张术,,,次,,2250.0 ,2137.5 ,2025.0 ,1800.0 
G,330701019,喉狭窄经口扩张及喉模置入术,,,次,,2250.0 ,2137.5 ,2025.0 ,1800.0 
G,330701020,喉狭窄成形及“T”型管置入术,,植入材料,次,,2000.0 ,1900.0 ,1800.0 ,1600.0 
G,330701021,喉部神经肌蒂移植术,,,次,,2083.0 ,1978.9 ,1874.7 ,1666.4 
G,330701022E,喉良性肿瘤切除术,,,次,,800.0 ,760.0 ,720.0 ,640.0 
G,330701022-1/1E,支撑喉镜下喉良性肿瘤切除术,,,次,,900.0 ,855.0 ,810.0 ,720.0 
G,330701022-2E,咽良性肿瘤切除术,,,次,,800.0 ,760.0 ,720.0 ,640.0 
G,330701022-2/1E,支撑喉镜下咽良性肿瘤切除术,,,次,,900.0 ,855.0 ,810.0 ,720.0 
G,330701022-3E,难治性呼吸道乳头瘤切除术,,,次,,960.0 ,912.0 ,864.0 ,768.0 
G,330701022-3/1E,支撑喉镜下难治性呼吸道乳头瘤切除术,,,次,,1060.0 ,1007.0 ,954.0 ,848.0 
G,330701023,喉裂开声带切除术,,,次,,800.0 ,760.0 ,720.0 ,640.0 
G,330701024,喉裂开肿瘤切除术,,,次,,1754.0 ,1666.0 ,1579.0 ,1403.0 
G,330701025E,经支撑喉镜激光声带肿物切除术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701025-1E,经支撑喉镜激光喉瘢痕切除术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701025-2E,经支撑喉镜激光梨状窝肿物切除术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701025-3E,经支撑喉镜激光舌根肿物切除术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701025-4E,经支撑喉镜激光咽旁肿物切除术,,,次,,1400.0 ,1330.0 ,1260.0 ,1120.0 
G,330701026E,经颈侧杓状软骨切除声带外移术,,,次,,1200.0 ,1140.0 ,1080.0 ,960.0 
G,330701027,喉气管裂开瘢痕切除喉模置入术,,,次,,2083.0 ,1978.9 ,1874.7 ,1666.4 
G,330701028,喉气管外伤缝合成形术,,,次,,900.0 ,855.0 ,810.0 ,720.0 
G,330701029E,喉气管狭窄支架成形术,不含其他部分取材。,支架,次,,1800.0 ,1710.0 ,1620.0 ,1440.0 
G,330701030,声带内移术,,,次,,1786.0 ,1696.7 ,1607.4 ,1428.8 
G,330701031,甲状软骨成形术,,,次,,1000.0 ,950.0 ,900.0 ,800.0 
G,330701032,环杓关节间接拨动术,,,次,,300.0 ,285.0 ,270.0 ,240.0 
